
2024/10/16 (16:21:03) | ===> btop++ v.1.4.0
2024/10/16 (16:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (17:58:24) | ===> btop++ v.1.4.0
2024/10/16 (17:58:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (18:16:03) | ===> btop++ v.1.4.0
2024/10/16 (18:16:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (18:21:13) | ===> btop++ v.1.4.0
2024/10/16 (18:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (18:21:27) | ===> btop++ v.1.4.0
2024/10/16 (18:21:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:12:47) | ===> btop++ v.1.4.0
2024/10/16 (23:12:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:48:24) | ===> btop++ v.1.4.0
2024/10/16 (23:48:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (00:04:49) | ===> btop++ v.1.4.0
2024/10/17 (00:04:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (10:11:59) | ===> btop++ v.1.4.0
2024/10/17 (10:11:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (12:13:37) | ===> btop++ v.1.4.0
2024/10/17 (12:13:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (19:58:56) | ===> btop++ v.1.4.0
2024/10/17 (19:58:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (09:43:09) | ===> btop++ v.1.4.0
2024/10/18 (09:43:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:21:03) | ===> btop++ v.1.4.0
2024/10/18 (10:21:03) | WARNING: Intel GPU: Failed to initialize PMU
